,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,172.84307861328125,1523.6099853515625,180.39999389648438,1094.760009765625,176.82000732421875,1523.6099853515625,180.39999389648438,1094.760009765625,177.74000549316406,1525.3800048828125,181.14999389648438,1101.1800537109375,174.52000427246094,1481.0,175.88999938964844,1072.27001953125,175.2100067138672,1494.239990234375,176.1999969482422,1078.1300048828125,28401400,5233900,16189300,1432400
2018-03-06,172.69644165039062,1537.6400146484375,179.77999877929688,1100.9000244140625,176.6699981689453,1537.6400146484375,179.77999877929688,1100.9000244140625,178.25,1542.1300048828125,182.3800048828125,1105.6300048828125,176.1300048828125,1528.0,179.11000061035156,1094.5,177.91000366210938,1533.199951171875,181.77999877929688,1102.0999755859375,23788500,4561700,15086800,1169100
2018-03-07,171.0933380126953,1545.0,183.7100067138672,1115.0400390625,175.02999877929688,1545.0,183.7100067138672,1115.0400390625,175.85000610351562,1545.9000244140625,183.82000732421875,1116.199951171875,174.27000427246094,1522.510009765625,178.07000732421875,1089.9100341796875,174.94000244140625,1526.52001953125,178.74000549316406,1092.8199462890625,31703500,4174100,19097300,1537400
2018-03-08,172.9603729248047,1551.8599853515625,182.33999633789062,1129.3800048828125,176.94000244140625,1551.8599853515625,182.33999633789062,1129.3800048828125,177.1199951171875,1554.8800048828125,184.39999389648438,1131.43994140625,175.07000732421875,1545.25,181.4499969482422,1117.199951171875,175.47999572753906,1550.0,183.55999755859375,1117.199951171875,23774100,3862600,17225900,1693100
2018-03-09,175.93199157714844,1578.8900146484375,185.22999572753906,1160.8399658203125,179.97999572753906,1578.8900146484375,185.22999572753906,1160.8399658203125,180.0,1578.93994140625,185.50999450683594,1161.0,177.38999938964844,1559.0799560546875,183.2100067138672,1134.2900390625,177.9600067138672,1563.5,183.91000366210938,1139.5,32185200,4534300,18526300,2133100
2018-03-12,177.63284301757812,1598.3900146484375,184.75999450683594,1165.9300537109375,181.72000122070312,1598.3900146484375,184.75999450683594,1165.9300537109375,182.38999938964844,1605.3299560546875,186.10000610351562,1178.1600341796875,180.2100067138672,1586.699951171875,184.22000122070312,1159.199951171875,180.2899932861328,1592.5999755859375,185.22999572753906,1165.050048828125,32207100,5174200,15301200,2215300
2018-03-13,175.92221069335938,1588.1800537109375,181.8800048828125,1139.9100341796875,179.97000122070312,1588.1800537109375,181.8800048828125,1139.9100341796875,183.5,1617.5400390625,185.99000549316406,1178.0,179.24000549316406,1578.010009765625,181.11000061035156,1134.5699462890625,182.58999633789062,1615.9599609375,185.61000061035156,1171.8299560546875,31693500,6531900,18067500,2157000
2018-03-14,174.42662048339844,1591.0,184.19000244140625,1148.8900146484375,178.44000244140625,1591.0,184.19000244140625,1148.8900146484375,180.52000427246094,1606.43994140625,184.25,1159.760009765625,177.80999755859375,1590.8900146484375,181.85000610351562,1142.3499755859375,180.32000732421875,1597.0,182.60000610351562,1145.800048828125,29368400,4259400,16821700,2093500
2018-03-15,174.6318817138672,1582.3199462890625,183.86000061035156,1150.6099853515625,178.64999389648438,1582.3199462890625,183.86000061035156,1150.6099853515625,180.24000549316406,1596.9100341796875,184.0,1162.5,178.07000732421875,1578.1099853515625,182.19000244140625,1135.6600341796875,178.5,1595.0,183.24000549316406,1149.5699462890625,22743800,4069700,15614300,1669100
2018-03-16,174.01608276367188,1571.6800537109375,185.08999633789062,1134.4200439453125,178.02000427246094,1571.6800537109375,185.08999633789062,1134.4200439453125,179.1199951171875,1589.43994140625,185.3300018310547,1156.81005859375,177.6199951171875,1567.5,183.41000366210938,1131.3599853515625,178.64999389648438,1583.449951171875,184.49000549316406,1155.3499755859375,39404700,5425000,24403400,2932800
